pid,date,archive_number,title,description,extent,condition,date_unvalidated,creator,collector,materials,collection,key,order,layout,notes,thumbnail,full
238,2023-10-25,23-01/1-3-26,"Brown glass jar with lid, Maltexo ","Brown glass jar with lid, Maltexo ",1,Good,Unknown,Unknown,Unknown,"Glass, Metal, Paper",tinui,object,237,tinui_item,"","",""
239,2023-10-25,23-01/1-3-27,Tiny glass medical measuring device,Tiny glass medical measuring device,1,Fair,Unknown,Unknown,Unknown,"Glass, Leather",tinui,object,238,tinui_item,"","",""
240,2023-10-25,23-01/1-3-28,Bent Glass tube,Bent Glass tube with on flat end and one round end.,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,239,tinui_item,"","",""
241,2023-10-25,23-01/1-3-29,Glass tube with metal top.,"Glass tube with metal top, straight.",1,Good,Unknown,Unknown,Unknown,"Glass, metal",tinui,object,240,tinui_item,"","",""
242,2023-10-25,23-01/1-3-30,Leather case with two brushes.,"Leather case with two brushes, brushes are oval with yellow bristles. Case is brown with a damaged buckle",1,Fair,Unknown,Unknown,Unknown,"Leather, metal, thread, Wood, plastic",tinui,object,241,tinui_item,"","",""
243,2023-10-25,23-01/1-3-31,"Small glass bottle of medicine, label illegible","Small glass bottle of medicine, label illegible, cork stopper",1,Good,Unknown,Unknown,Unknown,"Glass, Cork, Paper",tinui,object,242,tinui_item,"","",""
244,2023-10-25,23-01/1-3-32,Small brown glass bottle hexagonal ,"Small brown glass bottle hexagonal, with cork and paper label.",1,Good,1940s,Unknown,Unknown,"Glass, Cork, Paper",tinui,object,243,tinui_item,"","",""
245,2023-10-25,23-01/1-3-33,Garzol mouthwash bottle,Garzol mouthwash bottle with cork and label.,1,Good,Unknown,Unknown,Unknown,"Glass, Cork, Paper",tinui,object,244,tinui_item,"","",""
246,2023-10-25,23-01/1-3-34,Methylated Spirits Bottle Glass,Methylated Spirits Bottle Glass with pink label,1,Fair,1958,Unknown,Unknown,"Glass, Paper",tinui,object,245,tinui_item,"","",""
247,2023-10-25,23-01/1-3-35,Slipper Bed Pan Ceramic,Slipper Bed Pan Ceramic with instructions painted on inside and handle at back.,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,246,tinui_item,"","",""
248,2023-10-25,23-01/1-3-36,Large wooden Doctors kit with medicines enclosed.,"Large wooden Doctors kit with medicines enclosed. 22 glass bottles, mortar and pestle, two ceramic jars with lids. ",1,Good,Unknown,Unknown,Unknown,"Wood, Metal, Glass, Thread, Paper",tinui,object,247,tinui_item,"","",""
249,2023-10-25,23-01/1-3-37,Wooden shoe stretchers with floral pattern,Wooden shoe stretchers with floral pattern and metal pieces.,1,Good,Unknown,Unknown,Unknown,"Wood, Metal, Paint",tinui,object,248,tinui_item,"","",""
250,2023-10-25,23-01/1-3-38,Metal shoe stretchers with adjustable sizes,Metal shoe stretchers with adjustable sizes,1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,249,tinui_item,"","",""
251,2023-10-25,23-01/1-3-39,Box Brownie Six-20 D Camera,Box Brownie Camera with strap on top,1,Good,1950s,Kodak,Anne Brand,"Metal, Glass, Plastic, Leather",tinui,object,250,tinui_item,"","",""
252,2023-10-25,23-01/1-3-40,Instamatic Camera,Instamatic Camera,1,Good,1970s,Kodak,Anne Brand,"Metal, Plastic, Glass",tinui,object,251,tinui_item,"","",""
253,2023-10-25,23-01/1-3-41,Confectionary Tin full of buttons,Confectionary Tin full of buttons,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,252,tinui_item,"","",""
254,2023-10-25,23-01/1-3-42,Capital Camera light in leather case,Capital Camera light in leather case and string,1,Good,Unknown,Capital,Anne Brand,"Metal, Glass, Plastic, Leather",tinui,object,253,tinui_item,"","",""
255,2023-10-25,23-01/1-3-43,Zeiss Ikon Camera Accessory in leather case,Zeiss Ikon Camera Accessory in leather case with adjustable strap.,1,Good,Unknown,Zeiss Ikon,Anne Brand,"Metal, Glass, Plastic, Leather",tinui,object,254,tinui_item,"","",""
256,2023-10-25,23-01/1-3-44,Box Brownie Folding  Six-20 B Camera,Box Brownie Folding  Six-20 B Camera,1,Good,1930s,Kodak,Anne Brand,"Metal, Glass, Plastic, Leather",tinui,object,255,tinui_item,"","",""
257,2023-10-25,23-01/1-3-45,Zeiss Ikon Prontor 125 Camera,Zeiss Ikon Prontor 125 Camera with leather case and strap.,1,Good,1960s,Zeiss Ikon,Anne Brand,"Metal, Glass, Plastic, Leather",tinui,object,256,tinui_item,"","",""
258,2023-10-25,23-01/1-3-46,Kodak Brownie 125 Camera,Kodak Brownie 125 Camera with thread strap.,1,Good,1950s,Kodak,Anne Brand,"Metal, Glass, Plastic, Leather",tinui,object,257,tinui_item,"","",""
259,2023-10-25,23-01/1-3-47,Viola Camera Tripod Metal,Viola Camera Tripod Metal with plastic handle grip.,1,Good,Unknown,Unknown,Anne Brand,"Metal, Plastic",tinui,object,258,tinui_item,"","",""
260,2023-10-25,23-01/1-3-48,Black leather camera case,Black leather camera case with adjustable strap and camera manuals inside.,1,Good,Unknown,Unknown,Anne Brand,"Leather, metal, thread",tinui,object,259,tinui_item,"","",""
261,2023-10-25,23-01/1-3-49,Tape Measure,Tape Measure,1,Fair,Unknown,Unknown,Unknown,"Fabric, Paint",tinui,object,260,tinui_item,"","",""
262,2023-10-25,23-01/1-3-50,"Set of Pot menders on card, complete","Set of Pot menders on card, complete. Card is pink with six menders",1,Good,Unknown,Unknown,Unknown,"Metal, Cardboard",tinui,object,261,tinui_item,"","",""
263,2023-10-25,23-01/1-3-51,"Set of Pot menders on card, missing one","Set of Pot menders on card, missing one.  Card is pink with five menders",1,Good,Unknown,Unknown,Unknown,"Metal, Cardboard",tinui,object,262,tinui_item,"","",""
264,2023-10-25,23-01/1-3-52,Hose Mending Threads on card,Hose Mending Threads on card various shades for different stockings.,1,Good,Unknown,Unknown,Unknown,"Cardboard, Thread, Plastic",tinui,object,263,tinui_item,"","",""
265,2023-10-25,23-01/1-3-53,Set of Snap Fasteners on card. ,Set of Snap Fasteners on card. Dewey brand.,1,Good,Unknown,Dewey,Unknown,"Metal, Cardboard",tinui,object,264,tinui_item,"","",""
266,2023-10-25,23-01/1-3-54,Mendex Heat Sealing Invisble Patches in card package,Mendex Heat Sealing Invisble Patches in card package,1,Good,Unknown,Unknown,Unknown,"Cardboard, Fabric, paper",tinui,object,265,tinui_item,"","",""
267,2023-10-25,23-01/1-3-55,Red Tartan Needle book with needles,"Tartan Needle book with needles, handmade with dome fastening",1,Good,Unknown,Unknown,Unknown,"Cardboard, Fabric, paper, Metal",tinui,object,266,tinui_item,"","",""
268,2023-10-25,23-01/1-3-56,Community Song Book,"Community Song Book, Red cardboard book with songs inside to sing along.",1,Good,Unknown,Unknown,Unknown,Paper,tinui,object,267,tinui_item,"","",""
269,2023-10-25,23-01/1-3-57,Cardboard box full of various threads.,"Cardboard box full of various threads. Some on card, some loose.",1,Fair,Unknown,Unknown,Unknown,"Cardboard, Thread",tinui,object,268,tinui_item,"","",""
270,2023-10-25,23-01/1-3-58,Sewing thread on wooden holder,Sewing thread on wooden holder,1,Good,Unknown,Unknown,Unknown,"Wood, Thread, Paper",tinui,object,269,tinui_item,"","",""
271,2023-10-25,23-01/1-3-59,"Aunt Daisy's Book of Handy Hints, damaged",Aunt Daisy's Book of Handy Hints: 192 pages of valuable hints for the housewife.,1,Poor,Unknown,Whitcombe & Tombs LTD.,Unknown,Paper,tinui,object,270,tinui_item,"","",""
272,2023-10-25,23-01/1-3-60,Slate Writing Tablet,"Slate Writing Tablet, wooden frame. Writing reads ""Belliss""",1,Good,Unknown,Unknown,Belliss Family,"Slate, Wood",tinui,object,271,tinui_item,"","",""
273,2023-10-25,23-01/1-3-61,The People's Home Library 1925,"The People's Home Library 1925, large black book with embosed cover.",1,Good,1925,The Oceanic Publishing Company,Unknown,Paper,tinui,object,272,tinui_item,"","",""
274,2023-10-25,23-01/1-3-62,The Song of the Sea Record,"The Song of the Sea Record, blue and black sailor on cover.",1,Good,1960,The Children's Record Guild of New Zealand,Unknown,"Cardboard, Plastic",tinui,object,273,tinui_item,"","",""
275,2023-10-25,23-01/1-3-63,How People Live in Italy Record,"How People Live in Italy Record, Image of St. Peters Basilica on front.",1,Good,1950s,The Children's Record Guild of New Zealand,Unknown,"Cardboard, Plastic",tinui,object,274,tinui_item,"","",""
276,2023-10-25,23-01/1-3-64,Noah's Ark and other songs Record,"Noah's Ark and other songs Record, Image of Noah's ark on front",1,Good,1950s,His Master's Voice Ltd.,R & D Belliss,"Cardboard, Plastic",tinui,object,275,tinui_item,"","",""
277,2023-10-25,23-01/1-3-65,London Decca 45rpm Record,London Decca 45rpm Record,1,Good,1950s,His Master's Voice Ltd.,R & D Belliss,"Cardboard, Plastic",tinui,object,276,tinui_item,"","",""
278,2023-10-25,23-01/1-3-66,Bluebird Children's Series Record,Bluebird Children's Series Record,1,Good,1950s,Radio Corporation of America,R & D Belliss,"Cardboard, Plastic",tinui,object,277,tinui_item,"","",""
279,2023-10-25,23-01/1-3-67,"""Helps to Worship"" Book belonging to Thomas Langden 1920","""Helps to Worship"" Book belonging to Thomas William S. Langden. 1920. Red cover with text and cross in black.",1,Good,1920-09-30T12:30:00Z,Unknown,Unknown,Paper,tinui,object,278,tinui_item,"","",""
280,2023-10-25,23-01/1-3-68,Small White Ceramic Teapot,"Small White Ceramic Teapot with broken lid, glued together. Writing inside reads ""I.E.B""",1,Fair,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,279,tinui_item,"","",""
281,2023-10-25,23-01/1-3-69,Stratton Loose Powder Compact,"Stratton Loose Powder Compact, metal with product inside.",1,Good,Unknown,Stratton,Unknown,"Metal, Product",tinui,object,280,tinui_item,"","",""
282,2023-10-25,23-01/1-3-70,Teacup with black and red design,Teacup with black and red design around top edge,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,281,tinui_item,"","",""
283,2023-10-25,23-01/1-3-71,Blue and white bowl with windmill,"Blue and white bowl with windmill, rim is damaged, piece not attached.",1,Poor,Unknown,Royal Doulton,Unknown,"Ceramic, paint",tinui,object,282,tinui_item,"","",""
284,2023-10-25,23-01/1-3-72,Small White Ceramic Turrine with flowers,Small White Ceramic Turrine with flowers,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,283,tinui_item,"","",""
285,2023-10-25,23-01/1-3-73,Green Glass Mug with gold painted details,"Green Glass Mug with gold painted details and engraving that reads ""Francie 1931""",1,Good,1931,Unknown,Unknown,"Glass, Paint",tinui,object,284,tinui_item,"","",""
286,2023-10-25,23-01/1-3-74,Ceramic Toiletries Holder with floral pattern,"Ceramic Toiletries Holder with floral pattern, handle, and two containers.",1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,285,tinui_item,"","",""
287,2023-10-25,23-01/1-3-75,Set of Tea cups and saucers,"Set of Tea cups and saucers, two of each with gold rims, some worn off",1,Fair,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,286,tinui_item,"","",""
288,2023-10-25,23-01/1-3-76,Ceramic trinket box with floral pattern,Ceramic trinket box with floral pattern and broken metal hinge.,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint, metal",tinui,object,287,tinui_item,"","",""
289,2023-10-25,23-01/1-3-77,Teacup with pink and gold floral design,Teacup with pink and gold floral design,1,Good,Unknown,Unknown,Unknown,"Ceramic, paint",tinui,object,288,tinui_item,"","",""
290,2023-10-25,23-01/1-3-78,Round Brush with metal handle and cross stitch back,Round Brush with metal handle and cross stitch back,1,Good,Unknown,Unknown,Unknown,"Wood, Metal, Hair, Fabric Thread",tinui,object,289,tinui_item,"","",""
291,2023-10-25,23-01/1-3-79,Curved wooden brush with metal back,Curved wooden brush with metal back,1,Good,Unknown,Unknown,Unknown,"Wood, Metal, Hair",tinui,object,290,tinui_item,"","",""
292,2023-10-25,23-01/1-3-80,Oval Mirror with Dark Brown wood handle ,Oval Mirror with Dark Brown wood handle ,1,Good,Unknown,Unknown,Unknown,"Metal, Glass",tinui,object,291,tinui_item,"","",""
293,2023-10-25,23-01/1-3-81,Set of four whalebone crochet hooks,"Set of four whalebone crochet hooks, ends vary slightly in size",1,Good,Unknown,Unknown,Unknown,Bone,tinui,object,292,tinui_item,"","",""
294,2023-10-25,23-01/1-3-82,Round Mirror with metal handle and cross stitch back,Round Mirror with metal handle and cross stitch back,1,Good,Unknown,Unknown,Unknown,"Wood, Metal, Glass, Fabric, Thread",tinui,object,293,tinui_item,"","",""
295,2023-10-25,23-01/1-3-83,Red lipstick in gold case,"Red lipstick in gold case, top reads ""Max Factor Hollywood""",1,Good,Unknown,Unknown,Unknown,"Metal, Product",tinui,object,294,tinui_item,"","",""
296,2023-10-25,23-01/1-3-84,Make up kit in red leather case,"Make up kit in red leather case, five glass bottle with pink plastic lid, mirror and plastic box. With handle and clasp.",1,Good,Unknown,Unknown,Unknown,"Leather, metal, Glass, Fabric, Plastic.",tinui,object,295,tinui_item,"","",""
297,2023-10-25,23-01/1-3-85,Set of Paper Nautalis Shells,"Set of Paper Nautalis Shells. Notes says ""Found in the Sounds"". ",1,Good,Unknown,Unknown,Unknown,Shell,tinui,object,296,tinui_item,"Label not attached, very fragile! ","",""
298,2023-10-25,23-01/1-1-1,Large Black Glass Bottle,Large Black Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,297,tinui_item,"","",""
299,2023-10-25,23-01/1-1-2,Medium Brown Glass Bottle,Medium Brown Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,298,tinui_item,"","",""
300,2023-10-25,23-01/1-1-3,Symington Edinburgh Glass Bottle,Symington Edinburgh Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,299,tinui_item,"","",""
301,2023-10-25,23-01/1-1-4,Eno's Fruit Salt Glass Bottle,Eno's Fruit Salt Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,300,tinui_item,"","",""
302,2023-10-25,23-01/1-1-5,Dark brown Glass Bottle wide opening,Dark brown Glass Bottle wide opening,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,301,tinui_item,"","",""
303,2023-10-25,23-01/1-1-6,Clear Rectangular Glass Bottle,Clear Rectangular Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,302,tinui_item,"","",""
304,2023-10-25,23-01/1-1-7,Syke's Curacough Glass Bottle,Syke's Curacough Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,303,tinui_item,"","",""
305,2023-10-25,23-01/1-1-8,Q-Tol Glass Bottle with Plastic Lid,Q-Tol Glass Bottle with Plastic Lid,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,304,tinui_item,"","",""
306,2023-10-25,23-01/1-1-9,Jucy Fizzy Drink Glass Bottle ,Jucy Fizzy Drink Glass Bottle ,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,305,tinui_item,"","",""
307,2023-10-25,23-01/1-1-10,Small rectangular Glass Bottle,Small rectangular Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,306,tinui_item,"","",""
308,2023-10-25,23-01/1-1-11,Small rectangular Glass Bottle,Small rectangular Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,307,tinui_item,"","",""
309,2023-10-25,23-01/1-1-12,Small rectangular Glass Bottle,Small rectangular Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,308,tinui_item,"","",""
310,2023-10-25,23-01/1-1-13,Glass Bottle with lion and crowns,Glass Bottle with lion and crowns,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,309,tinui_item,"","",""
311,2023-10-25,23-01/1-1-14,Three in One Oil Glass Bottle with stopper,Three in One Oil Glass Bottle with stopper,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,310,tinui_item,"","",""
312,2023-10-25,23-01/1-1-15,Worcester & Mellor Co. Glass Bottle,Worcester & Mellor Co. Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,311,tinui_item,"","",""
313,2023-10-25,23-01/1-1-16,Olive green Glass Bottle,Olive green Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,312,tinui_item,"","",""
314,2023-10-25,23-01/1-1-17,Blue rectangular Glass Bottle,Blue rectangular Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,313,tinui_item,"","",""
315,2023-10-25,23-01/1-1-18,Small Green Glass Bottle,Small Green Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,314,tinui_item,"","",""
316,2023-10-25,23-01/1-1-19,"Black ""Kepler"" Glass Bottle","Black ""Kepler"" Glass Bottle",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,315,tinui_item,"","",""
317,2023-10-25,23-01/1-1-20,Aromatic Shnapps Green Glass Bottle,Aromatic Shnapps Green Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,316,tinui_item,"","",""
318,2023-10-25,23-01/1-1-21,Large Green Glass Bottle,Large Green Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,317,tinui_item,"","",""
319,2023-10-25,23-01/1-1-22,H&A Gilley Glass Bottle,H&A Gilley Glass Bottle,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,318,tinui_item,"","",""
320,2023-10-25,23-01/1-1-23,"Farm equipment, two metal rings with connecting pieces","Farm equipment, two metal rings with connecting pieces",1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,319,tinui_item,"","",""
321,2023-10-25,23-01/1-1-24,Meat Grinder,"Meat Grinder, metal with plastic handle grip",1,Good,Unknown,Unknown,Unknown,"Metal, Paint, Plastic",tinui,object,320,tinui_item,"","",""
322,2023-10-25,23-01/1-1-25,"Black & White Whisky Green Glass Bottle, complete label","Black & White Whisky Green Glass Bottle, complete label",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,321,tinui_item,"","",""
323,2023-10-25,23-01/1-1-26,"Black & White Whisky Green Glass Bottle, damaged label","Black & White Whisky Green Glass Bottle, damaged label",1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,322,tinui_item,"","",""
324,2023-10-25,23-01/1-1-27,Salter's Improved Hanging Scale,Salter's Improved Hanging Scale,1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,323,tinui_item,"","",""
325,2023-10-25,23-01/1-1-28,Salter's Quadrant Balance Hanging Scale,Salter's Quadrant Balance Hanging Scale,1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,324,tinui_item,"","",""
326,2023-10-25,23-01/1-1-29,Hand Shearing Scissors,Hand Shearing Scissors,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,325,tinui_item,"","",""
327,2023-10-25,23-01/1-1-30,Hand Seed Sower,"Hand Seed Sower, metal with wooden handle grip",1,Good,Unknown,Unknown,Unknown,"Metal, Wood",tinui,object,326,tinui_item,"","",""
328,2023-10-25,23-01/1-1-31,"Cast Iron Cattle Brand ""M""","Cast Iron Cattle Brand ""M""",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,327,tinui_item,"","",""
329,2023-10-25,23-01/1-1-32,"Cast Iron Cattle Brand ""I K""","Cast Iron Cattle Brand ""I K""",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,328,tinui_item,"","",""
330,2023-10-25,23-01/1-1-33,"Cast Iron Cattle Brand ""I I""","Cast Iron Cattle Brand ""I I""",1,Good,Unknown,Unknown,Unknown,Metal,tinui,object,329,tinui_item,"","",""
331,2023-10-25,23-01/1-1-34,Retsol Dusting & Polishing Mop Tin,Retsol Dusting & Polishing Mop Tin,1,Fair,Unknown,Unknown,Unknown,"Metal, Paper",tinui,object,330,tinui_item,"","",""
332,2023-10-25,23-01/1-1-35,Clever Mary Cleaning Tin,Clever Mary Cleaning Tin,1,Fair,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,331,tinui_item,"","",""
333,2023-10-25,23-01/1-1-36,Record Tea Tin,"Record Tea Tin, Text reads ""Special Packed for J. Johnson General Merchant, Tenui""",1,Poor,Unknown,Unknown,Unknown,"Metal, Paper",tinui,object,332,tinui_item,"","",""
334,2023-10-25,23-01/1-1-37,Large Wicker wrapped ceramic jug with Cork,Large Wicker wrapped ceramic jug with Cork,1,Good,Unknown,Unknown,Unknown,"Wood, Ceramic, Cork, Paint",tinui,object,333,tinui_item,"","",""
335,2023-10-25,23-01/1-1-38,Blue and white tin with Asian garden pattern,Blue and white tin with Asian garden pattern,1,Poor,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,334,tinui_item,"","",""
336,2023-10-25,23-01/1-1-39,White and Blue metal measuring jug,White and Blue metal measuring jug with handle and measurements in pints inside,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,335,tinui_item,"","",""
337,2023-10-25,23-01/1-1-40,Griffins Large Biscuit Tin,"Griffins Large Biscuit Tin, metal with paper labels",1,Poor,Unknown,Griffins,Unknown,"Metal, Paper",tinui,object,336,tinui_item,"","",""
338,2023-10-25,23-01/1-1-41,Large Red Metal Jug ,Large Red Metal Jug with handle,1,Fair,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,337,tinui_item,"","",""
339,2023-10-25,23-01/1-1-42,Blue Metal Jug with handle,Blue Metal Jug with handle,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,338,tinui_item,"","",""
340,2023-10-25,23-01/1-1-43,White Metal Tea Pot with hinged lid,White Metal Tea Pot with hinged lid,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,339,tinui_item,"","",""
341,2023-10-25,23-01/1-1-44,Toasted Navy Cut Tobacco Tin,Toasted Navy Cut Tobacco Tin with bulldog image on front,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,340,tinui_item,"","",""
342,2023-10-25,23-01/1-1-45,Maltexo Tin Large,Maltexo Tin Large,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,341,tinui_item,"","",""
343,2023-10-25,23-01/1-1-46,Glass Jug One Gallon,Glass Jug One Gallon,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,342,tinui_item,"","",""
344,2023-10-25,23-01/1-1-47,Edmonds Cake Baking Powder Tin Red,Edmonds Cake Baking Powder Tin Red,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,343,tinui_item,"","",""
345,2023-10-25,23-01/1-1-48,Edmonds Cake Baking Powder Tin Yellow,Edmonds Cake Baking Powder Tin Yellow,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,344,tinui_item,"","",""
346,2023-10-25,23-01/1-1-49,Edmonds Acto Baking Powder Tin,Edmonds Acto Baking Powder Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,345,tinui_item,"","",""
347,2023-10-25,23-01/1-1-50,Strang's Ground Ginger Tin,Strang's Ground Ginger Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,346,tinui_item,"","",""
348,2023-10-25,23-01/1-1-51,Doctor's China Tea Tin,Doctor's China Tea Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,347,tinui_item,"","",""
349,2023-10-25,23-01/1-1-52,Strang's Ground Nutmegs Tin,Strang's Ground Nutmegs Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,348,tinui_item,"","",""
350,2023-10-25,23-01/1-1-53,Horlick's Malted Milk Tin,Horlick's Malted Milk Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,349,tinui_item,"","",""
351,2023-10-25,23-01/1-1-54,Brasso Metal Polish with lid,Brasso Metal Polish with lid,1,Fair,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,350,tinui_item,"","",""
352,2023-10-25,23-01/1-1-55,Blue plastic ball on ribbon,"Blue plastic ball on ribbon, bottom has needle gage",1,Good,Unknown,Unknown,Unknown,"Plastic, Ribbon",tinui,object,351,tinui_item,"","",""
353,2023-10-25,23-01/1-1-56,"Edmonds Acto Baking Powder Tin, Silver",Edmonds Acto Baking Powder Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,352,tinui_item,"","",""
354,2023-10-25,23-01/1-1-57,Chelsea Golden Syrup Tin 7lbs,Chelsea Golden Syrup Tin 7lbs,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,353,tinui_item,"","",""
355,2023-10-25,23-01/1-1-58,Chelsea Treacle Tin,Chelsea Treacle Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,354,tinui_item,"","",""
356,2023-10-25,23-01/1-1-59,Anchor Milk Powder Tin,Anchor Milk Powder Tin,1,Good,1950s,Unknown,Marj Scholfield,"Metal, Paint",tinui,object,355,tinui_item,"","",""
357,2023-10-25,23-01/1-1-60,Red Metal Toy Tractor,Red Metal Toy Tractor with Rubber wheels,1,Good,Unknown,Unknown,Unknown,"Metal, Paint, Rubber",tinui,object,356,tinui_item,"","",""
358,2023-10-25,23-01/1-2-114,Reid Rubber Jar Rings Box and Rings,"Reid Rubber Jar Rings Box, yellow and blue, and Rings, red rubber",1,Good,Unknown,Unknown,Unknown,"Cardboard, Ink, Rubber",tinui,object,357,tinui_item,"","",""
359,2023-10-25,23-01/1-2-115,Capstain Navy Cut Cigarettes Tin,Capstain Navy Cut Cigarettes Tin,1,Good,Unknown,Unknown,Unknown,"Metal, Paint",tinui,object,358,tinui_item,"","",""
360,2023-10-25,23-01/1-2-116,"""Handy Grip"" Shaving Stick Tin","""Handy Grip"" Shaving Stick Tin, Colgate brand",1,Good,Unknown,Unknown,Unknown,"Metal, Product",tinui,object,359,tinui_item,"","",""
361,2023-10-25,23-01/1-2-117,Culmak Shaving Brush,"Culmak Shaving Brush, with hair bristles and plastic end.",1,Good,Unknown,Unknown,Unknown,"Plastic, Hair",tinui,object,360,tinui_item,"","",""
362,2023-10-25,23-01/1-2-118,Shaving Stick in plastic casing,"Shaving Stick in brown plastic casing, no lid",1,Good,Unknown,Unknown,Unknown,"Plastic, Hair",tinui,object,361,tinui_item,"","",""
363,2023-10-25,23-01/1-2-119,Agee Queen Jar Lid,Agee Queen Jar Lid,1,Good,Unknown,Unknown,Unknown,Glass,tinui,object,362,tinui_item,"","",""
364,2023-10-25,23-01/1-2-120,Agee Queen Jar Lid wirh rubber jar ring,Agee Queen Jar Lid wirh rubber jar ring,1,Good,Unknown,Unknown,Unknown,"Glass, Rubber",tinui,object,363,tinui_item,"","",""
365,2023-10-25,23-01/1-2-121,Pair of hairdressing clips ,Pair of hairdressing clips for ensuring even waves,1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,364,tinui_item,"","",""
366,2023-10-25,23-01/1-2-122,Pair of tweezers with black handle,Pair of tweezers with black handle,1,Fair,Unknown,Unknown,Unknown,"Metal, Plastic",tinui,object,365,tinui_item,"","",""
367,2023-10-25,23-01/1-2-123,Black metal money box with handle,"Black metal money box with handle, coin slot in top, lock, inside engraving that reads ""Tony Hunt"" and two pennies, one 1959 and one 1961.",1,Fair,Unknown,Unknown,Unknown,Metal,tinui,object,366,tinui_item,"","",""
368,2023-10-25,23-01/1-2-124,"Robinson's ""Patent"" Groats Tin Lid","Robinson's ""Patent"" Groats Tin Lid",1,Good,Unknown,Unknown,Unknown,"Metal, Paper",tinui,object,367,tinui_item,"","",""
369,2023-10-25,23-01/1-2-125,Small wooden thread holder with white thread,Small wooden thread holder with white thread,1,Good,Unknown,Unknown,Unknown,"Wood, Thread",tinui,object,368,tinui_item,"","",""
370,2023-10-25,23-01/1-2-126,Clark & Co. Machine Cotton thread white,Clark & Co. Machine Cotton thread white,1,Good,Unknown,Unknown,Unknown,"Wood, Thread, Paper",tinui,object,369,tinui_item,"","",""
